Date;USD;JPY;BGN;CYP;CZK;DKK;EEK;GBP;HUF;LTL;LVL;MTL;PLN;ROL;RON;SEK;SIT;SKK;CHF;ISK;NOK;HRK;RUB;TRL;TRY;AUD;BRL;CAD;CNY;HKD;IDR;ILS;INR;KRW;MXN;MYR;NZD;PHP;SGD;THB;ZAR
30.12.2021;0.002738881;0.003609696;0;NA;-0.001644111;0;NA;-0.002201792;-0.000189095;NA;NA;NA;-0.001673968;NA;-0.000101017;-0.001658165;NA;NA;-0.001639108;0.001355932;-0.001803734;0.000146266;0.015462534;NA;0.039207125;-0.002817625;-0.001411123;-0.00034522;0.00327269;0.003081701;0.003165849;0.000710399;-0.001547625;0.004835204;-0.000486048;0.001416416;-0.004823645;0.004452498;0.001370802;-0.000554419;0.003903865
31.12.2021;-0.00070609;-0.000460087;0;NA;-0.002370669;-1.34E-05;NA;0.001166959;-0.002596912;NA;NA;NA;0.000195803;NA;-8.08E-05;0.000634329;NA;NA;-0.003092686;0;0.001853792;-0.000731544;0.004836979;NA;0.034398538;0.001345766;-0.009981555;-0.006095468;-0.003925735;-0.000746894;-0.003904687;-0.001279082;-0.000335932;-0.00087604;-0.004281388;-0.003216253;0.002052893;-0.001487735;-0.003332356;-0.005667388;0.002505558
3.1.2022;0.002557208;0.001379628;0;NA;-0.001610436;0.000242023;NA;0.001272575;-0.004016833;NA;NA;NA;-0.001611078;NA;-0.000141453;0.004429072;NA;NA;0.003960784;0;0.001250619;0.00045229;-0.009057264;NA;-0.010280119;0.004855309;0.006917273;0.001874155;0.003150133;0.002351958;0.006290567;-0.000569006;0.001965319;0.005939042;0.003541109;0.00412424;0.00433344;0.004973502;0.003528032;0.000318649;-0.005351317
4.1.2022;-0.006715586;0.004661301;0;NA;-0.002945748;-5.38E-05;NA;-0.006163844;-0.007068517;NA;NA;NA;-0.004980242;NA;-4.04E-05;-0.001457967;NA;NA;-0.001640373;0.001354096;0.001249057;-6.65E-05;0.004590112;NA;0.004017731;-0.000573742;0.009944254;-0.002638707;-0.003469864;-0.007049786;-0.00014135;-0.006566949;-0.002246733;-0.001100724;-0.001943685;-0.003488634;0.001020439;-0.001085842;-0.001501159;-0.002206069;0.007867181
5.1.2022;0.00354014;-0.001067887;0;NA;-0.006649662;8.07E-05;NA;-0.00086143;-0.008167576;NA;NA;NA;-2.19E-05;NA;-0.000424495;-0.002561444;NA;NA;0.000868768;-0.006788892;-0.00466444;6.65E-05;0.009461669;NA;0.00699078;-0.005242644;-0.000436409;0.001181335;0.002263717;0.003497103;0.003899243;0.002289051;-0.000528609;0.001255762;-0.001666559;0.005323206;-0.004268757;-0.004753641;0.001957586;0.000664991;-0.009493786
6.1.2022;-0.000353451;0.000152625;0;NA;-0.002158465;0.000120986;NA;0.000562406;-0.006399002;NA;NA;NA;-0.001139352;NA;-0.000505587;0.006996773;NA;NA;0.002986659;0;0.00677928;9.31E-05;0.009072482;NA;0.01986102;0.01134565;0.004262409;0.003604857;0.001386251;0.000509918;0.001773005;0.007346693;0.001027264;0.00548467;0.004858072;0.004288604;0.009295698;0.003977317;0.003124189;0.009395456;-0.008043682
7.1.2022;-0.00150356;-0.001145257;0;NA;-0.003635105;-0.000174763;NA;-0.001951828;-0.003228862;NA;NA;NA;-0.002590277;NA;0.000323605;-0.004133841;NA;NA;0.002594035;-0.005464494;-0.000618029;0.000226047;-0.014095135;NA;0.010885592;0.001646508;-0.001195996;-0.005342597;-0.001760869;-0.001575919;-0.006370035;-0.003182635;-0.003204035;-0.001542972;-0.006211495;-0.002457391;-0.000238806;0.001776031;-0.002081708;0.002945975;-0.006942416
10.1.2022;0.00176866;-0.003443661;0;NA;-0.003360934;1.34E-05;NA;-0.000383629;-0.000780945;NA;NA;NA;-0.003567107;NA;-4.04E-05;0.001933194;NA;NA;0.002300174;0.001368926;-0.000349056;0.000850544;-0.003705655;NA;-0.000146316;-0.001900058;-0.005829557;-0.00327515;0.000943213;0.001134006;-0.000403456;0.004770162;-0.002121852;-0.003152114;-0.002217862;-0.00035756;0.000298499;0.001635295;-0.000781759;0;0.001685044
11.1.2022;0.001589124;0.003825559;0;NA;0.002255532;0.000309171;NA;0.000922858;-0.002654189;NA;NA;NA;0.002291457;NA;2.02E-05;0.000359026;NA;NA;0.005346585;0.005457039;-0.000878165;-0.000558088;-0.001368276;NA;-0.001419736;0.001900058;-0.001235736;0.000139587;0.00175921;0.001709915;0.002437408;0.00528302;-0.000619524;-0.002089695;0.001261146;-0.000441868;0.001133483;-0.002790219;-0.000130353;-0.005583664;0.000536582
12.1.2022;0.002994805;0.001831083;0;NA;0.000450497;0.000134392;NA;-0.001642558;-0.004120943;NA;NA;NA;-0.001740146;NA;6.07E-05;-0.004229158;NA;NA;-0.001524681;0;-0.008975416;5.32E-05;-0.001301717;NA;-0.006635114;-0.002661093;-0.006784585;-0.004756917;0.001714673;0.002779443;0.004584642;-0.002369669;0.003342543;0.000310408;0.004166493;0.001682263;0.000178854;0.001740494;0.001042345;0.001952559;-0.008215752
13.1.2022;0.008146149;-0.001602014;0;NA;0.00143205;-6.72E-05;NA;0.002480781;-0.002080932;NA;NA;NA;4.41E-05;NA;-0.00026291;-0.002536339;NA;NA;-0.003152016;0;0.000634432;-0.000505178;0.021559097;NA;-0.001142249;-0.003368183;0.000945061;0.00301068;0.007350748;0.007407899;0.005085864;0.006531187;0.008160263;0.004401834;0.008768784;0.005865734;-0.005919123;0.008435396;0.00448271;0.003788681;0.004181515
14.1.2022;-0.00139677;-0.006203351;0;NA;0.001430002;6.72E-05;NA;-0.000442973;0.002417973;NA;NA;NA;0.001167723;NA;-0.000222517;0.00296493;NA;NA;-0.002298631;0;0.005321405;3.99E-05;0.016014857;NA;-0.003138266;0.005965999;-0.0024748;0.001816023;-0.002540495;-0.001905745;0.000599978;-0.002050476;0.002681812;0.001492368;-0.005186711;-0.000919483;0.004129146;0.00264282;-0.000583563;-0.001235006;-0.001918145
17.1.2022;-0.003851208;0.00360416;0;NA;-0.001062092;4.03E-05;NA;0.000778066;-2.81E-05;NA;NA;NA;-0.00348517;NA;0.000283194;0.003557996;NA;NA;0;-0.001361471;-0.002406185;0.000930356;-0.006960445;NA;-0.016226944;0.000506105;-0.008766076;-0.003005209;-0.004492532;-0.003090533;-0.003124069;-0.002421036;-0.002534273;-0.001014273;-0.003370753;-0.002658713;0.001193674;-0.003941211;-0.002857887;-0.00717738;-0.000187472
18.1.2022;-0.003162058;-0.001915489;0;NA;-0.001677132;0.000107497;NA;0.001195843;0.002552274;NA;NA;NA;8.84E-05;NA;0.000121344;0.001309186;NA;NA;-0.001439332;-0.005464494;0.000150556;-0.000664452;-0.0075602;NA;0.011002572;0.001390469;-0.000175152;-0.004138179;-0.002627686;-0.003021082;-0.001169144;0.00219607;0.000985004;-0.003358847;-0.001976934;-0.003149344;0.001966452;0.000973951;-0.001627446;-0.003342355;-0.003483134
19.1.2022;-0.001937302;-0.004073012;0;NA;-0.004636952;-8.06E-05;NA;-0.006053686;-0.003142186;NA;NA;NA;-0.000685166;NA;0;0.002352225;NA;NA;-0.002981201;-0.005494519;-0.002713488;0.0001728;-0.002915496;NA;-0.00155514;-0.007862573;-0.002231895;-0.005921348;-0.002898452;-0.002079473;-0.002138492;-0.000787778;-0.004721492;-0.006090833;-0.002253632;0.000336403;-0.006809655;-0.002119985;-0.003655118;-0.004473923;-0.008640513
20.1.2022;-0.000617202;-0.002544433;0;NA;-0.002058631;6.72E-05;NA;0.001165634;-0.000196715;NA;NA;NA;-2.21E-05;NA;8.09E-05;0.002703539;NA;NA;-9.63E-05;0.001376463;0.002111126;0.000159481;0.004789622;NA;-0.013797105;-0.0029964;-0.016672685;0.000989329;-0.00093095;-0.001335854;-0.001000268;0.000984626;-0.000610278;0.001528043;0.003294383;-0.001704205;0.00281311;-0.002467572;-0.002094653;-0.003957965;-0.007840234
21.1.2022;0.000881601;-0.003015427;0;NA;0.003456082;9.41E-05;NA;0.004409886;0.006666691;NA;NA;NA;0.00198794;NA;0;0.00415689;NA;NA;-0.002797205;0.001374571;0.0094453;0.000398592;-0.000658481;NA;0.000893784;0.007125619;0.007147277;0.003736477;0.000139003;0.001086932;-0.00143333;0.002920038;0.000675432;0.002021437;0.00234958;0.000400013;0.009103142;-0.001957822;-6.55E-05;0.001044498;-0.005725478
24.1.2022;-0.003884872;-0.004034766;0;NA;0.007406683;0;NA;0.002030627;0.004595916;NA;NA;NA;0.005589188;NA;0;0.008586042;NA;NA;-0.00435604;0;0.011030924;0.000132829;0.020640438;NA;-0.004008549;0.00581544;-0.002613664;0.004073039;-0.005756956;-0.004161641;-0.001879975;0.004978057;-0.000823613;0.000384573;0.001450102;-0.003289061;0.001006364;-0.002168377;-0.00288752;0.000642226;0.005597957
25.1.2022;-0.003189795;-0.00101124;0;NA;-0.001142205;8.06E-05;NA;-0.001074524;-0.001112223;NA;NA;NA;0.003920157;NA;-0.000101111;-0.000171381;NA;NA;0.00541797;0.002743486;-0.00249233;6.64E-05;0.001007963;NA;0.007241837;-0.003282831;0.002388061;-0.001542994;-0.002911985;-0.003163983;-0.002726722;0.001449599;-0.000859889;-0.001257806;0.001473764;-0.002939779;0.000591506;-0.005043276;-0.003885034;-0.002732315;0.000927058
